"Component","Scope","Package","Version","License","Risk","URL","LicenseFiles","Notes"
"R package: SparseM","Bundled dependency","SparseM","1.84-2","GPL (>= 2)","GPL","http://www.econ.uiuc.edu/~roger/research/sparse/sparse.html","",""
"R package: symmoments","Bundled dependency","symmoments","1.2.2","GPL","GPL","https://github.com/FloSchuberth/symmoments","",""
"R package: timeDate","Bundled dependency","timeDate","4052.112","GPL (>= 2)","GPL","https://geobosh.github.io/timeDateDoc/ (doc),
https://CRAN.R-project.org/package=timeDate,
https://www.rmetrics.org","",""
"R package: TMB","Bundled dependency","TMB","1.9.25","GPL-2","GPL","https://github.com/kaskr/adcomp/wiki","",""
"R package: TruncatedNormal","Bundled dependency","TruncatedNormal","2.3","GPL-3","GPL","https://cran.r-project.org/package=TruncatedNormal","",""
"R package: ucminf","Bundled dependency","ucminf","1.2.3","GPL (>= 2)","GPL","https://github.com/hdakpo/ucminf","",""
"R package: urca","Bundled dependency","urca","1.3-4","GPL (>= 2)","GPL","https://cran.r-project.org/package=urca","",""
"R package: xtable","Bundled dependency","xtable","1.8-8","GPL (>= 2)","GPL","http://xtable.r-forge.r-project.org/","",""
"R package: zoo","Bundled dependency","zoo","1.8-15","GPL-2 | GPL-3","GPL","https://zoo.R-Forge.R-project.org/","",""
"R package: bdsmatrix","Bundled dependency","bdsmatrix","1.3-7","LGPL-2","LGPL","https://cran.r-project.org/package=bdsmatrix","",""
"R package: DBI","Bundled dependency","DBI","1.3.0","LGPL (>= 2.1)","LGPL","https://dbi.r-dbi.org, https://github.com/r-dbi/DBI","",""
"R package: globals","Bundled dependency","globals","0.19.1","LGPL (>= 2.1)","LGPL","https://globals.futureverse.org,
https://github.com/futureverse/globals","",""
"R package: nloptr","Bundled dependency","nloptr","2.2.1","LGPL (>= 3)","LGPL","https://github.com/astamm/nloptr, https://astamm.github.io/nloptr/","",""
"R package: parallelly","Bundled dependency","parallelly","1.48.0","LGPL (>= 2.1)","LGPL","https://parallelly.futureverse.org,
https://github.com/futureverse/parallelly","",""
"R package: abind","Bundled dependency","abind","1.4-8","MIT + file LICENSE","permissive-or-other","https://cran.r-project.org/package=abind","R-abind-1.4-8-LICENSE",""
"R package: askpass","Bundled dependency","askpass","1.2.1","MIT + file LICENSE","permissive-or-other","https://r-lib.r-universe.dev/askpass","R-askpass-1.2.1-LICENSE",""
"R package: brio","Bundled dependency","brio","1.1.5","MIT + file LICENSE","permissive-or-other","https://brio.r-lib.org, https://github.com/r-lib/brio","R-brio-1.1.5-LICENSE",""
"R package: broom","Bundled dependency","broom","1.0.12","MIT + file LICENSE","permissive-or-other","https://broom.tidymodels.org/, https://github.com/tidymodels/broom","R-broom-1.0.12-LICENSE",""
"R package: bslib","Bundled dependency","bslib","0.10.0","MIT + file LICENSE","permissive-or-other","https://rstudio.github.io/bslib/, https://github.com/rstudio/bslib","R-bslib-0.10.0-LICENSE",""
"R package: cachem","Bundled dependency","cachem","1.1.0","MIT + file LICENSE","permissive-or-other","https://cachem.r-lib.org/, https://github.com/r-lib/cachem","R-cachem-1.1.0-LICENSE",""
"R package: checkmate","Bundled dependency","checkmate","2.3.4","BSD_3_clause + file LICENSE","permissive-or-other","https://mllg.github.io/checkmate/,
https://github.com/mllg/checkmate","R-checkmate-2.3.4-LICENSE",""
"R package: cli","Bundled dependency","cli","3.6.5","MIT + file LICENSE","permissive-or-other","https://cli.r-lib.org, https://github.com/r-lib/cli","R-cli-3.6.5-LICENSE",""
"R package: colorspace","Bundled dependency","colorspace","2.1-2","BSD_3_clause + file LICENSE","permissive-or-other","https://colorspace.R-Forge.R-project.org/, https://hclwizard.org/","R-colorspace-2.1-2-LICENSE",""
"R package: commonmark","Bundled dependency","commonmark","2.0.0","BSD_2_clause + file LICENSE","permissive-or-other","https://docs.ropensci.org/commonmark/
https://ropensci.r-universe.dev/commonmark","R-commonmark-2.0.0-LICENSE",""
"R package: cpp11","Bundled dependency","cpp11","0.5.3","MIT + file LICENSE","permissive-or-other","https://cpp11.r-lib.org, https://github.com/r-lib/cpp11","R-cpp11-0.5.3-LICENSE",""
"R package: crayon","Bundled dependency","crayon","1.5.3","MIT + file LICENSE","permissive-or-other","https://r-lib.github.io/crayon/, https://github.com/r-lib/crayon","R-crayon-1.5.3-LICENSE",""
"R package: crosstalk","Bundled dependency","crosstalk","1.2.2","MIT + file LICENSE","permissive-or-other","https://rstudio.github.io/crosstalk/,
https://github.com/rstudio/crosstalk","R-crosstalk-1.2.2-LICENSE",""
"R package: curl","Bundled dependency","curl","7.0.0","MIT + file LICENSE","permissive-or-other","https://jeroen.r-universe.dev/curl","R-curl-7.0.0-LICENSE",""
"R package: data.table","Bundled dependency","data.table","1.18.2.1","MPL-2.0 | file LICENSE","permissive-or-other","https://r-datatable.com, https://Rdatatable.gitlab.io/data.table,
https://github.com/Rdatatable/data.table","R-data.table-1.18.2.1-LICENSE",""
"R package: desc","Bundled dependency","desc","1.4.3","MIT + file LICENSE","permissive-or-other","https://desc.r-lib.org/, https://github.com/r-lib/desc","R-desc-1.4.3-LICENSE",""
"R package: DiagrammeR","Bundled dependency","DiagrammeR","1.0.12","MIT + file LICENSE","permissive-or-other","https://rich-iannone.github.io/DiagrammeR/,
https://github.com/rich-iannone/DiagrammeR","R-DiagrammeR-1.0.12-LICENSE",""
"R package: DiagrammeRsvg","Bundled dependency","DiagrammeRsvg","0.1","MIT + file LICENSE","permissive-or-other","https://github.com/rich-iannone/DiagrammeRsvg","R-DiagrammeRsvg-0.1-LICENSE",""
"R package: dplyr","Bundled dependency","dplyr","1.2.0","MIT + file LICENSE","permissive-or-other","https://dplyr.tidyverse.org, https://github.com/tidyverse/dplyr","R-dplyr-1.2.0-LICENSE",""
"R package: evaluate","Bundled dependency","evaluate","1.0.5","MIT + file LICENSE","permissive-or-other","https://evaluate.r-lib.org/, https://github.com/r-lib/evaluate","R-evaluate-1.0.5-LICENSE",""
"R package: farver","Bundled dependency","farver","2.1.2","MIT + file LICENSE","permissive-or-other","https://farver.data-imaginist.com,
https://github.com/thomasp85/farver","R-farver-2.1.2-LICENSE",""
"R package: fastmap","Bundled dependency","fastmap","1.2.0","MIT + file LICENSE","permissive-or-other","https://r-lib.github.io/fastmap/, https://github.com/r-lib/fastmap","R-fastmap-1.2.0-LICENSE",""
"R package: fontawesome","Bundled dependency","fontawesome","0.5.3","MIT + file LICENSE","permissive-or-other","https://github.com/rstudio/fontawesome,
https://rstudio.github.io/fontawesome/","R-fontawesome-0.5.3-LICENSE",""
"R package: fontBitstreamVera","Bundled dependency","fontBitstreamVera","0.1.1","file LICENCE","permissive-or-other","https://cran.r-project.org/package=fontBitstreamVera","R-fontBitstreamVera-0.1.1-LICENCE",""
"R package: fontLiberation","Bundled dependency","fontLiberation","0.1.0","file LICENSE","permissive-or-other","https://cran.r-project.org/package=fontLiberation","R-fontLiberation-0.1.0-LICENSE",""
"R package: forcats","Bundled dependency","forcats","1.0.1","MIT + file LICENSE","permissive-or-other","https://forcats.tidyverse.org/,
https://github.com/tidyverse/forcats","R-forcats-1.0.1-LICENSE",""
"R package: foreach","Bundled dependency","foreach","1.5.2","Apache License (== 2.0)","permissive-or-other","https://github.com/RevolutionAnalytics/foreach","",""
"R package: fs","Bundled dependency","fs","1.6.6","MIT + file LICENSE","permissive-or-other","https://fs.r-lib.org, https://github.com/r-lib/fs","R-fs-1.6.6-LICENSE",""
"R package: future","Bundled dependency","future","1.75.0","Apache License (>= 2)","permissive-or-other","https://future.futureverse.org,
https://github.com/futureverse/future","",""
"R package: generics","Bundled dependency","generics","0.1.4","MIT + file LICENSE","permissive-or-other","https://generics.r-lib.org, https://github.com/r-lib/generics","R-generics-0.1.4-LICENSE",""
"R package: glue","Bundled dependency","glue","1.8.0","MIT + file LICENSE","permissive-or-other","https://glue.tidyverse.org/, https://github.com/tidyverse/glue","R-glue-1.8.0-LICENSE",""
"R package: gtable","Bundled dependency","gtable","0.3.6","MIT + file LICENSE","permissive-or-other","https://gtable.r-lib.org, https://github.com/r-lib/gtable","R-gtable-0.3.6-LICENSE",""
"R package: hms","Bundled dependency","hms","1.1.4","MIT + file LICENSE","permissive-or-other","https://hms.tidyverse.org/, https://github.com/tidyverse/hms","R-hms-1.1.4-LICENSE",""
"R package: htmlwidgets","Bundled dependency","htmlwidgets","1.6.4","MIT + file LICENSE","permissive-or-other","https://github.com/ramnathv/htmlwidgets","R-htmlwidgets-1.6.4-LICENSE",""
"R package: httr","Bundled dependency","httr","1.4.8","MIT + file LICENSE","permissive-or-other","https://httr.r-lib.org/, https://github.com/r-lib/httr","R-httr-1.4.8-LICENSE",""
"R package: isoband","Bundled dependency","isoband","0.3.0","MIT + file LICENSE","permissive-or-other","https://isoband.r-lib.org, https://github.com/r-lib/isoband","R-isoband-0.3.0-LICENSE",""
"R package: iterators","Bundled dependency","iterators","1.0.14","Apache License (== 2.0)","permissive-or-other","https://github.com/RevolutionAnalytics/iterators","",""
"R package: jquerylib","Bundled dependency","jquerylib","0.1.4","MIT + file LICENSE","permissive-or-other","https://cran.r-project.org/package=jquerylib","R-jquerylib-0.1.4-LICENSE",""
"R package: labeling","Bundled dependency","labeling","0.4.3","MIT + file LICENSE | Unlimited","permissive-or-other","https://cran.r-project.org/package=labeling","R-labeling-0.4.3-LICENSE",""
"R package: later","Bundled dependency","later","1.4.8","MIT + file LICENSE","permissive-or-other","https://later.r-lib.org, https://github.com/r-lib/later","R-later-1.4.8-LICENSE",""
"R package: lifecycle","Bundled dependency","lifecycle","1.0.5","MIT + file LICENSE","permissive-or-other","https://lifecycle.r-lib.org/, https://github.com/r-lib/lifecycle","R-lifecycle-1.0.5-LICENSE",""
"R package: listenv","Bundled dependency","listenv","1.0.0","Apache License (>= 2)","permissive-or-other","https://listenv.futureverse.org,
https://github.com/futureverse/listenv","",""
"R package: litedown","Bundled dependency","litedown","0.9","MIT + file LICENSE","permissive-or-other","https://github.com/yihui/litedown","R-litedown-0.9-LICENSE",""
"R package: magrittr","Bundled dependency","magrittr","2.0.4","MIT + file LICENSE","permissive-or-other","https://magrittr.tidyverse.org,
https://github.com/tidyverse/magrittr","R-magrittr-2.0.4-LICENSE",""
"R package: matrixStats","Bundled dependency","matrixStats","1.5.0","Artistic-2.0","permissive-or-other","https://github.com/HenrikBengtsson/matrixStats","",""
"R package: memoise","Bundled dependency","memoise","2.0.1","MIT + file LICENSE","permissive-or-other","https://memoise.r-lib.org, https://github.com/r-lib/memoise","R-memoise-2.0.1-LICENSE",""
